gen_id,route_id,type_id,x1,y1,x2,y2
1,1,1,0,0,32,32
1,1,1,32,32,64,64
1,1,1,64,64,96,96
1,1,1,96,96,128,128
1,1,1,128,128,160,160
1,1,1,160,160,192,192
1,1,1,192,192,224,224
1,1,1,224,224,256,256
1,1,1,256,256,288,288
1,1,1,288,288,320,320
1,1,1,0,320,32,352
1,1,1,32,352,64,384
1,1,1,64,384,96,416
1,1,1,96,416,128,448
1,1,1,128,448,160,480
1,1,1,160,480,192,512
1,1,1,192,512,224,544
1,1,1,224,544,256,576
1,1,1,256,0,288,32
1,1,1,288,32,320,64
1,1,1,0,64,32,96
1,1,1,32,96,64,128
1,1,1,64,128,96,160
1,1,1,96,160,128,192
1,1,1,128,192,160,224
1,1,1,160,224,192,256
1,1,1,192,256,224,288
1,1,1,224,288,256,320
1,1,1,256,320,288,352
1,1,1,288,352,320,384
1,1,1,0,384,32,416
1,1,1,32,416,64,448
1,1,1,64,448,96,480
1,1,1,96,480,128,512
1,1,1,128,512,160,544
1,1,1,160,544,192,576
1,1,1,192,0,224,32
1,1,1,224,32,256,64
1,1,1,256,64,288,96
1,1,1,288,96,320,128
1,1,1,0,128,32,160
1,1,1,32,160,64,192
1,1,1,64,192,96,224
1,1,1,96,224,128,256
1,1,1,128,256,160,288
1,1,2,0,0,32,32
1,1,2,32,32,64,64
1,1,2,64,64,96,96
1,1,2,96,96,128,128
1,1,2,128,128,160,160
1,1,2,160,160,192,192
1,1,2,192,192,224,224
1,1,2,224,224,256,256
1,1,2,256,256,288,288
1,1,2,288,288,320,320
1,1,2,0,320,32,352
1,1,2,32,352,64,384
1,1,2,64,384,96,416
1,1,2,96,416,128,448
1,1,2,128,448,160,480
1,1,2,160,480,192,512
1,1,2,192,512,224,544
1,1,2,224,544,256,576
1,1,2,256,0,288,32
1,1,2,288,32,320,64
