gen_id,route_id,type_id,x1,y1,x2,y2
1,1,1,0,0,32,32
1,1,1,32,32,64,64
1,1,1,64,64,96,96
1,1,1,96,96,128,128
1,1,1,128,128,160,160
1,1,1,160,160,192,192
1,1,1,192,192,224,224
1,1,1,224,224,256,256
1,1,1,256,256,288,288
1,1,1,288,0,320,32
1,1,1,320,32,352,64
1,1,1,352,64,384,96
1,1,1,384,96,416,128
1,1,1,416,128,448,160
1,1,1,448,160,480,192
1,1,1,480,192,512,224
1,1,1,512,224,544,256
1,1,1,544,256,576,288
1,1,1,576,0,608,32
1,1,1,608,32,640,64
1,1,1,640,64,672,96
1,1,1,672,96,704,128
1,1,1,704,128,736,160
1,1,1,736,160,768,192
1,1,1,768,192,800,224
