gen_id,route_id,type_id,x1,y1,x2,y2
1,1,1,0,0,32,32
1,1,1,32,32,64,64
1,1,1,64,64,96,96
1,1,1,96,96,128,128
1,1,1,128,128,160,160
1,1,1,160,160,192,192
1,1,2,0,0,32,32
1,1,2,32,32,64,64
1,1,2,64,64,96,96
1,1,2,96,96,128,128
1,1,2,128,128,160,160
1,1,2,160,160,192,192
1,1,2,192,192,224,224
1,1,2,224,224,256,256
1,1,2,256,256,288,288
1,1,2,288,0,320,32
1,1,2,320,32,352,64
1,1,2,352,64,384,96
1,1,2,384,96,416,128
1,1,2,416,128,448,160
1,1,2,448,160,480,192
1,1,2,480,192,512,224
1,1,2,512,224,544,256
1,1,2,544,256,576,288
1,1,2,576,0,608,32
1,1,2,608,32,640,64
1,1,2,640,64,672,96
1,1,2,672,96,704,128
1,1,2,704,128,736,160
1,1,2,736,160,768,192
1,1,2,768,192,800,224
1,1,2,0,224,32,256
1,1,2,32,256,64,288
1,1,2,64,0,96,32
1,1,2,96,32,128,64
1,1,2,128,64,160,96
1,1,2,160,96,192,128
1,1,2,192,128,224,160
1,1,2,224,160,256,192
1,1,2,256,192,288,224
1,1,2,288,224,320,256
1,1,2,320,256,352,288
1,1,2,352,0,384,32
1,1,2,384,32,416,64
1,1,2,416,64,448,96
1,1,2,448,96,480,128
1,1,2,480,128,512,160
1,1,2,512,160,544,192
1,1,2,544,192,576,224
1,1,2,576,224,608,256
1,1,2,608,256,640,288
1,1,2,640,0,672,32
1,1,2,672,32,704,64
1,1,2,704,64,736,96
1,1,2,736,96,768,128
1,1,2,768,128,800,160
1,1,2,0,160,32,192
1,1,2,32,192,64,224
1,1,2,64,224,96,256
1,1,2,96,256,128,288
1,1,2,128,0,160,32
1,1,2,160,32,192,64
1,1,2,192,64,224,96
1,1,2,224,96,256,128
1,1,2,256,128,288,160
1,1,2,288,160,320,192
1,1,2,320,192,352,224
1,1,2,352,224,384,256
1,1,2,384,256,416,288
1,1,2,416,0,448,32
1,1,2,448,32,480,64
1,1,2,480,64,512,96
1,1,2,512,96,544,128
1,1,2,544,128,576,160
1,1,2,576,160,608,192
1,1,2,608,192,640,224
